epochs,learning_rate,batch_size,seed,version,max_length,tune_type,model_name,model_saved_name,code_preprocessing,ft_metric,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,pred_loss,pred_accuracy,pred_precision,pred_recall,pred_f1,pred_f_beta_score,pred_runtime,pred_samples_per_second,pred_steps_per_second,actual_trainable_param,total_trainable_param,trainable_param_percentage,model_size_MB,adapter_type,name,num:,total_memory,total_used,GPU percentage
30,0.0005,16,42,1,512,peft,plbart,ConPlag_1_plbart_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,214.0406,89.282,5.606,3181771505762304,0.239195301104337,16,0.333096504211426,0.9562,0.9286,0.9286,0.9286,0.9286,5.5773,24.564,1.614,2.381186,141.601922,1.68160570588865,9.13,houlsby,NVIDIA GeForce RTX 4090,1,24564,13062,53.1753786028334
30,0.0005,16,42,1,512,peft,codebert,ConPlag_1_codebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,214.6776,89.017,5.59,3789684574900224,0.350574932856993,22,0.421021580696106,0.9270,0.9000,0.8571,0.8780,0.8699,8.4501,16.213,1.065,2.381186,127.026818,1.87455376548911,9.13,houlsby,NVIDIA GeForce RTX 4090,1,24564,5350,21.7798404168702
30,0.0005,16,42,1,512,peft,graphcodebert,ConPlag_1_graphcodebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,178.5135,107.051,6.722,3123278379067392,0.243243031824628,18,1.09417426586151,0.9051,0.8718,0.8095,0.8395,0.8277,4.4712,30.641,2.013,3.023579,127.669211,2.36829144342405,9.13,houlsby,NVIDIA GeForce RTX 4090,1,24564,5350,21.7798404168702
30,0.0005,16,42,1,512,peft,unixcoder,ConPlag_1_unixcoder_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,117.2718,162.955,10.233,2067100677218304,0.315392692883809,12,0.306385815143585,0.9416,0.8696,0.9524,0.9091,0.9253,4.6316,29.58,1.943,2.381186,128.310914,1.85579381033791,9.13,houlsby,NVIDIA GeForce RTX 4090,1,24564,5330,21.698420452695
30,0.0005,16,42,1,512,peft,codeberta,ConPlag_1_codeberta_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,100.8591,189.472,11.898,1239677343830016,0.351551256861006,14,0.315192669630051,0.8759,0.7273,0.9524,0.8247,0.8696,4.2841,31.978,2.101,2.130786,85.581666,2.48976924566998,5.7,houlsby,NVIDIA GeForce RTX 4090,1,24564,3334,13.5727080280085
30,0.0005,16,42,1,512,peft,codet5,ConPlag_1_codet5_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,294.1603,64.965,4.079,2472209785823232,0.261031654423901,28,0.379401385784149,0.9562,0.9500,0.9048,0.9268,0.9182,4.588,29.86,1.962,1.06317,61.555458,1.72717421743495,4.1,houlsby,NVIDIA GeForce RTX 4090,1,24564,9270,37.7381533952125
30,0.0005,16,42,1,512,peft,plbart,ConPlag_1_plbart_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,194.6657,98.168,6.164,2956653742049280,0.236750448147456,15,0.305699348449707,0.9562,0.9286,0.9286,0.9286,0.9286,5.2084,26.304,1.728,1.486658,140.707394,1.05655997011785,5.7,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,12854,52.3286109754112
30,0.0005,16,42,1,512,peft,codebert,ConPlag_1_codebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,135.7199,140.805,8.842,2387110881792000,0.523278226171221,14,0.395965784788132,0.8613,0.7347,0.8571,0.7912,0.8153,4.6259,29.616,1.946,1.486658,126.13229,1.17864981282747,5.69,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,5140,20.9249307930305
30,0.0005,16,42,1,512,peft,graphcodebert,ConPlag_1_graphcodebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,174.5456,109.484,6.875,3091769925543936,0.266264001280069,18,0.63797128200531,0.9197,0.8605,0.8810,0.8706,0.8745,5.0712,27.015,1.775,2.129051,126.774683,1.67939761284988,5.7,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,5140,20.9249307930305
30,0.0005,16,42,1,512,peft,unixcoder,ConPlag_1_unixcoder_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,171.7222,111.284,6.988,3069142562304000,0.226216842689448,18,0.65062028169632,0.8905,0.7647,0.9286,0.8387,0.8711,4.5273,30.261,1.988,1.486658,127.416386,1.16677143864369,5.69,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,5144,20.9412147858655
30,0.0005,16,42,1,512,peft,codeberta,ConPlag_1_codeberta_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,134.0251,142.585,8.954,1665789790758912,0.275191068963001,19,0.41607728600502,0.9343,0.9024,0.8810,0.8916,0.8875,4.3203,31.71,2.083,1.683522,85.134402,1.97748731470505,3.98,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,3156,12.848070346849
30,0.0005,16,42,1,512,peft,codet5,ConPlag_1_codet5_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,197.4585,96.78,6.077,1662708277880832,0.341949710720464,19,0.432763636112213,0.9124,0.8261,0.9048,0.8636,0.8790,4.5943,29.819,1.959,0.663426,61.155714,1.08481441325336,2.55,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,8940,36.3947239863214
30,0.0005,16,42,1,512,peft,plbart,ConPlag_1_plbart_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,254.8844,74.975,4.708,3728283243030528,0.197878749119608,19,0.236188173294067,0.9708,0.9524,0.9524,0.9524,0.9524,5.018,27.302,1.794,1.034498,140.255234,0.737582456281097,3.98,lora,NVIDIA GeForce RTX 4090,1,24564,13766,56.041361341801
30,0.0005,16,42,1,512,peft,codebert,ConPlag_1_codebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,269.9834,70.782,4.445,4572032935421952,0.436935264092905,27,0.417328953742981,0.8978,0.8684,0.7857,0.8250,0.8094,4.7431,28.884,1.897,0.887042,125.532674,0.706622404936582,3.41,lora,NVIDIA GeForce RTX 4090,1,24564,4994,20.3305650545514
30,0.0005,16,42,1,512,peft,graphcodebert,ConPlag_1_graphcodebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,175.0484,109.17,6.855,2900057691288576,0.353193347594317,17,0.389939516782761,0.8978,0.8333,0.8333,0.8333,0.8333,4.7593,28.786,1.891,1.529435,126.175067,1.21215311104214,3.41,lora,NVIDIA GeForce RTX 4090,1,24564,4994,20.3305650545514
30,0.0005,16,42,1,512,peft,unixcoder,ConPlag_1_unixcoder_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,267.3656,71.475,4.488,4572032935421952,0.186904407430578,27,0.846331417560577,0.9197,0.8444,0.9048,0.8736,0.8853,4.5722,29.964,1.968,0.887042,126.81677,0.699467428479688,3.41,lora,NVIDIA GeForce RTX 4090,1,24564,4998,20.3468490473864
30,0.0005,16,42,1,512,peft,codeberta,ConPlag_1_codeberta_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,154.5149,123.677,7.766,1828815731398656,0.278938404009456,21,0.815906405448914,0.9343,0.9459,0.8333,0.8861,0.8650,4.4699,30.65,2.013,1.383714,84.834594,1.63107281447,2.83,lora,NVIDIA GeForce RTX 4090,1,24564,3156,12.848070346849
30,0.0005,16,42,1,512,peft,codet5,ConPlag_1_codet5_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,280.1645,68.21,4.283,2269951320698880,0.282486882576576,26,0.472892254590988,0.9343,0.9024,0.8810,0.8916,0.8875,4.972,27.554,1.81,0.558594,61.050882,0.914964668323711,2.16,lora,NVIDIA GeForce RTX 4090,1,24564,9750,39.6922325354177
30,0.0005,16,42,2,512,peft,plbart,ConPlag_2_plbart_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,229.3074,83.338,5.233,3380632224872448,0.198152212185018,17,0.286105901002884,0.948905109489051,0.888888888888889,0.952380952380952,0.919540229885057,0.931899641577061,5.4011,25.365,1.666,2.381186,141.601922,1.68160570588865,9.13,houlsby,NVIDIA GeForce RTX 4090,1,24564,13062,53.1753786028334
30,0.0005,16,42,2,512,peft,codebert,ConPlag_2_codebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,221.2315,86.38,5.424,3789684574900224,0.282557176730849,22,0.796633303165436,0.927007299270073,0.880952380952381,0.880952380952381,0.880952380952381,0.880952380952381,4.9115,27.894,1.832,2.381186,127.026818,1.87455376548911,9.13,houlsby,NVIDIA GeForce RTX 4090,1,24564,5350,21.7798404168702
30,0.0005,16,42,2,512,peft,graphcodebert,ConPlag_2_graphcodebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,206.7106,92.448,5.805,3470309310074880,0.205170423388481,20,0.868737876415253,0.941605839416058,0.972222222222222,0.833333333333333,0.897435897435897,0.871647509578544,4.7377,28.917,1.9,3.023579,127.669211,2.36829144342405,9.13,houlsby,NVIDIA GeForce RTX 4090,1,24564,5350,21.7798404168702
30,0.0005,16,42,2,512,peft,unixcoder,ConPlag_2_unixcoder_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,160.0327,119.413,7.498,2756134236291072,0.25404941206798,16,0.430597186088562,0.927007299270073,0.863636363636364,0.904761904761905,0.883720930232558,0.891696750902527,4.8742,28.107,1.846,2.381186,128.310914,1.85579381033791,9.13,houlsby,NVIDIA GeForce RTX 4090,1,24564,5330,21.698420452695
30,0.0005,16,42,2,512,peft,codeberta,ConPlag_2_codeberta_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,160.2195,119.274,7.49,1948064397447168,0.216131457686424,22,0.32083585858345,0.956204379562044,0.928571428571429,0.928571428571429,0.928571428571429,0.928571428571429,5.0349,27.21,1.788,2.130786,85.581666,2.48976924566998,5.7,houlsby,NVIDIA GeForce RTX 4090,1,24564,3334,13.5727080280085
30,0.0005,16,42,2,512,peft,codet5,ConPlag_2_codet5_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_houlsby,True,f_beta_score,115.765,165.076,10.366,971225273001984,0.437358270991932,11,0.342377483844757,0.861313868613139,0.716981132075472,0.904761904761905,0.8,0.83728813559322,4.6084,29.728,1.953,1.06317,61.555458,1.72717421743495,4.1,houlsby,NVIDIA GeForce RTX 4090,1,24564,9270,37.7381533952125
30,0.0005,16,42,2,512,peft,plbart,ConPlag_2_plbart_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,116.8495,163.544,10.27,1773992245229568,0.300696860419379,9,0.208560109138489,0.963503649635037,0.951219512195122,0.928571428571429,0.939759036144578,0.935424354243542,4.944,27.71,1.82,1.486658,140.707394,1.05655997011785,5.7,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,12854,52.3286109754112
30,0.0005,16,42,2,512,peft,codebert,ConPlag_2_codebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,162.2707,117.766,7.395,2898634642176000,0.40648428552291,17,0.354415953159332,0.912408759124088,0.840909090909091,0.880952380952381,0.86046511627907,0.868231046931408,4.6523,29.448,1.935,1.486658,126.13229,1.17864981282747,5.69,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,5140,20.9249307930305
30,0.0005,16,42,2,512,peft,graphcodebert,ConPlag_2_graphcodebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,154.4465,123.732,7.77,2748239933816832,0.280956375971436,16,0.55585640668869,0.912408759124088,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,4.5866,29.87,1.962,2.129051,126.774683,1.67939761284988,5.7,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,5140,20.9249307930305
30,0.0005,16,42,2,512,peft,unixcoder,ConPlag_2_unixcoder_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,170.7703,111.905,7.027,3069142562304000,0.202949312922364,18,0.505857586860657,0.934306569343066,0.883720930232558,0.904761904761905,0.894117647058824,0.898181818181818,4.5145,30.347,1.994,1.486658,127.416386,1.16677143864369,5.69,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,5144,20.9412147858655
30,0.0005,16,42,2,512,peft,codeberta,ConPlag_2_codeberta_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,145.8865,130.992,8.226,1841136084523008,0.216392983212357,21,0.511613965034485,0.934306569343066,0.883720930232558,0.904761904761905,0.894117647058824,0.898181818181818,4.2984,31.872,2.094,1.683522,85.134402,1.97748731470505,3.98,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,3158,12.8562123432666
30,0.0005,16,42,2,512,peft,codet5,ConPlag_2_codet5_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_pfeiffer,True,f_beta_score,173.9326,109.87,6.899,1487686353893376,0.32768402520348,17,0.403145998716354,0.905109489051095,0.837209302325581,0.857142857142857,0.847058823529412,0.850909090909091,4.5841,29.886,1.963,0.663426,61.155714,1.08481441325336,2.55,pfeiffer,NVIDIA GeForce RTX 4090,1,24564,8940,36.3947239863214
30,0.0005,16,42,2,512,peft,plbart,ConPlag_2_plbart_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,265.9283,71.861,4.512,3924508676874240,0.179814646616578,20,0.287585586309433,0.970802919708029,0.975,0.928571428571429,0.951219512195122,0.942379182156134,5.0414,27.175,1.785,1.034498,140.255234,0.737582456281097,3.98,lora,NVIDIA GeForce RTX 4090,1,24564,13766,56.041361341801
30,0.0005,16,42,2,512,peft,codebert,ConPlag_2_codebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,115.9905,164.755,10.346,2032014637965312,0.606400346755981,12,0.558482348918915,0.686131386861314,0.493670886075949,0.928571428571429,0.644628099173554,0.730547550432277,4.4933,30.49,2.003,0.887042,125.532674,0.706622404936582,3.41,lora,NVIDIA GeForce RTX 4090,1,24564,4994,20.3305650545514
30,0.0005,16,42,2,512,peft,graphcodebert,ConPlag_2_graphcodebert_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,175.3712,108.969,6.843,3070649320187904,0.32411239064402,18,0.455979883670807,0.897810218978102,0.85,0.80952380952381,0.829268292682927,0.821561338289963,4.3984,31.148,2.046,1.529435,126.175067,1.21215311104214,3.41,lora,NVIDIA GeForce RTX 4090,1,24564,4994,20.3305650545514
30,0.0005,16,42,2,512,peft,unixcoder,ConPlag_2_unixcoder_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,242.084,78.94,4.957,4233363829094400,0.185543313086033,25,0.666968166828156,0.927007299270073,0.863636363636364,0.904761904761905,0.883720930232558,0.891696750902527,4.5069,30.398,1.997,0.887042,126.81677,0.699467428479688,3.41,lora,NVIDIA GeForce RTX 4090,1,24564,4998,20.3468490473864
30,0.0005,16,42,2,512,peft,codeberta,ConPlag_2_codeberta_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,192.9145,99.059,6.22,2351334511798272,0.215140815024023,27,0.516876220703125,0.963503649635037,0.951219512195122,0.928571428571429,0.939759036144578,0.935424354243542,4.2721,32.069,2.107,1.383714,84.834594,1.63107281447,2.83,lora,NVIDIA GeForce RTX 4090,1,24564,3156,12.848070346849
30,0.0005,16,42,2,512,peft,codet5,ConPlag_2_codet5_ep30_bs16_lr0_0005_l512_s42_ppy_f_beta_score_2_lora,True,f_beta_score,190.0935,100.53,6.313,1571504760483840,0.335379270050261,18,0.318820863962173,0.905109489051095,0.784313725490196,0.952380952380952,0.860215053763441,0.893470790378007,4.5575,30.06,1.975,0.558594,61.050882,0.914964668323711,2.16,lora,NVIDIA GeForce RTX 4090,1,24564,9750,39.6922325354177
30,1E-05,16,42,1,512,fft,plbart,ConPlag_1_plbart_ep30_bs16_lr1e-05_l512_s42_ppy_f_beta_score_2,True,f_beta_score,172.5786,110.732,6.953,2148957578127360,0.22041249871254,11,0.188587129116058,0.970802919708029,0.952380952380952,0.952380952380952,0.952380952380952,0.952380952380952,4.7679,28.734,1.888,139.812866,139.812866,100,533.343757629395,fft,NVIDIA GeForce RTX 4090,1,24564,16744,68.1647940074906
30,1E-05,16,42,1,512,fft,codebert,ConPlag_1_codebert_ep30_bs16_lr1e-05_l512_s42_ppy_f_beta_score_2,True,f_beta_score,243.7723,78.393,4.923,3352034845286400,0.318338966369629,20,0.604814291000366,0.91970802919708,0.918918918918919,0.80952380952381,0.860759493670886,0.840304182509506,4.4329,30.906,2.03,124.64717,124.64717,100,475.491218566895,fft,NVIDIA GeForce RTX 4090,1,24564,7394,30.1009607555773
30,1E-05,16,42,1,512,fft,graphcodebert,ConPlag_1_graphcodebert_ep30_bs16_lr1e-05_l512_s42_ppy_f_beta_score_2,True,f_beta_score,167.4526,114.122,7.166,2346424391700480,0.313628154993057,14,0.347479999065399,0.905109489051095,0.853658536585366,0.833333333333333,0.843373493975904,0.839483394833948,4.4912,30.504,2.004,124.64717,124.64717,100,475.491218566895,fft,NVIDIA GeForce RTX 4090,1,24564,7394,30.1009607555773
30,1E-05,16,42,1,512,fft,unixcoder,ConPlag_1_unixcoder_ep30_bs16_lr1e-05_l512_s42_ppy_f_beta_score_2,True,f_beta_score,205.2862,93.09,5.845,2849229618493440,0.191830250598929,17,0.529557526111603,0.91970802919708,0.86046511627907,0.880952380952381,0.870588235294118,0.874545454545454,4.5148,30.345,1.993,125.931266,125.931266,100,480.389656066895,fft,NVIDIA GeForce RTX 4090,1,24564,7414,30.1823807197525
30,1E-05,16,42,1,512,fft,codeberta,ConPlag_1_codeberta_ep30_bs16_lr1e-05_l512_s42_ppy_f_beta_score_2,True,f_beta_score,117.5924,162.511,10.205,1181344261214208,0.260837815489088,14,0.483000814914703,0.934306569343066,0.945945945945946,0.833333333333333,0.886075949367089,0.865019011406844,4.4149,31.031,2.039,83.452418,83.452418,100,318.345710754395,fft,NVIDIA GeForce RTX 4090,1,24564,4520,18.4009119035988
30,1E-05,16,42,1,512,fft,codet5,ConPlag_1_codet5_ep30_bs16_lr1e-05_l512_s42_ppy_f_beta_score_2,True,f_beta_score,275.0375,69.481,4.363,2081489216421888,0.470799746116002,24,0.29970383644104,0.846715328467153,0.677966101694915,0.952380952380952,0.792079207920792,0.846905537459283,4.7539,28.818,1.893,60.75597,60.75597,100,231.765632629395,fft,NVIDIA GeForce RTX 4090,1,24564,11880,48.3634587200782
30,1E-05,16,42,2,512,fft,plbart,ConPlag_2_plbart_ep30_bs16_lr1e-05_l512_s42_ppy_f_beta_score_2,True,f_beta_score,188.3921,101.437,6.37,2344317357957120,0.163884802659353,12,0.288420796394348,0.948905109489051,0.906976744186046,0.928571428571429,0.917647058823529,0.921818181818182,4.966,27.588,1.812,139.812866,139.812866,100,533.343757629395,fft,NVIDIA GeForce RTX 4090,1,24564,16744,68.1647940074906
30,1E-05,16,42,2,512,fft,codebert,ConPlag_2_codebert_ep30_bs16_lr1e-05_l512_s42_ppy_f_beta_score_2,True,f_beta_score,202.5247,94.359,5.925,2849229618493440,0.361436223983765,17,0.446955591440201,0.912408759124088,0.894736842105263,0.80952380952381,0.85,0.833962264150943,4.6411,29.519,1.939,124.64717,124.64717,100,475.491218566895,fft,NVIDIA GeForce RTX 4090,1,24564,7394,30.1009607555773
30,1E-05,16,42,2,512,fft,graphcodebert,ConPlag_2_graphcodebert_ep30_bs16_lr1e-05_l512_s42_ppy_f_beta_score_2,True,f_beta_score,193.7486,98.633,6.194,2681627876229120,0.275962398573756,16,0.510124623775482,0.912408759124088,0.875,0.833333333333333,0.853658536585366,0.845724907063197,4.4691,30.655,2.014,124.64717,124.64717,100,475.491218566895,fft,NVIDIA GeForce RTX 4090,1,24564,7394,30.1009607555773
30,1E-05,16,42,2,512,fft,unixcoder,ConPlag_2_unixcoder_ep30_bs16_lr1e-05_l512_s42_ppy_f_beta_score_2,True,f_beta_score,168.1059,113.678,7.138,2346424391700480,0.203528919230614,14,0.459068864583969,0.912408759124088,0.8,0.952380952380952,0.869565217391304,0.899653979238754,4.5007,30.439,2,125.931266,125.931266,100,480.389656066895,fft,NVIDIA GeForce RTX 4090,1,24564,7414,30.1823807197525
30,1E-05,16,42,2,512,fft,codeberta,ConPlag_2_codeberta_ep30_bs16_lr1e-05_l512_s42_ppy_f_beta_score_2,True,f_beta_score,126.9771,150.5,9.451,1265725994158080,0.20892437616984,15,0.479601234197617,0.927007299270073,0.847826086956522,0.928571428571429,0.886363636363636,0.902135231316726,4.2276,32.406,2.129,83.452418,83.452418,100,318.345710754395,fft,NVIDIA GeForce RTX 4090,1,24564,4520,18.4009119035988
